tensor(21.9736, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4779, device='cuda:0', grad_fn=<NegBackward0>)
tensor(23.2941, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4300, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3661, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.4402, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7070, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3441, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3667, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2358, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8044, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.9073, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5446, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5648, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8596, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1353, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1797, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5004, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.8117, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0677, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3454, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.1945, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.6604, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3664, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.5129, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2251, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.8257, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9819, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7053, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2129, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.2195, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2901, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.3006, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.2595, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.0317, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7218, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9790, device='cuda:0', grad_fn=<NegBackward0>)
tensor(21.9899, device='cuda:0', grad_fn=<NegBackward0>)
tensor(22.7847, device='cuda:0', grad_fn=<NegBackward0>)
