tensor(24.2926, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4691, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0597, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2117, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8781, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9514, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2558, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8184, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.2418, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.2227, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4952, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8651, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.7189, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2024, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9666, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7271, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.5219, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.5221, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.7642, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.1566, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3142, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.3810, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9125, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.6142, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9138, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8615, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.3977, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8976, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.6224, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.4671, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.4285, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.0194, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.8918, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.5825, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.6380, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.9101, device='cuda:0', grad_fn=<NegBackward>)
tensor(23.2440, device='cuda:0', grad_fn=<NegBackward>)
tensor(22.2046, device='cuda:0', grad_fn=<NegBackward>)
